Donor,Parent Fatty Acid,type,To-PP,To-F,NE-PP,NE-F
D229,AA,11_12,6.164246689,6.20738152,0.0,0.0
D360,AA,11_12,5.437405311,5.55468568,0.0,0.0
D384,AA,11_12,5.540233559,5.003398576,0.0,0.0
D391,AA,11_12,6.669142624,6.034125784,0.0,0.0
D75,AA,11_12,4.534057799,4.182525039,0.0,0.0
D274,AA,11_12,6.90600848,6.207892851,0.0,0.0
D34,AA,11_12,3.765534747,3.822989338,0.0,0.0
D356,AA,11_12,5.512812715,5.452913407,0.0,0.0
D368,AA,11_12,5.810798566,4.620523685,0.0,0.0
D370,AA,11_12,5.155109004,4.833207442,0.0,0.0
D229,AA,14_15,7.826284869,7.66594996,0.0,0.0
D360,AA,14_15,6.907379725,6.938947296,0.0,0.0
D384,AA,14_15,7.154229373,5.845490051,0.0,0.0
D391,AA,14_15,7.563237718,7.393312727,0.0,0.0
D75,AA,14_15,6.260527549,6.516163504,0.0,0.0
D274,AA,14_15,7.985738887,7.510945774,0.0,0.0
D34,AA,14_15,5.693537828,6.276228051,0.0,0.0
D356,AA,14_15,7.233144615,6.987157934,0.0,0.0
D368,AA,14_15,7.568829143,6.278236012,0.0,0.0
D370,AA,14_15,6.85280308,6.834342513,0.0,0.0
D229,AA,8_9,2.786718629,3.434937057,0.0,0.0
D360,AA,8_9,1.944504887,1.936497058,0.0,0.0
D384,AA,8_9,2.713118852,1.590887335,0.0,0.0
D391,AA,8_9,1.78253375,2.915714446,0.0,0.0
D75,AA,8_9,0.773307442,2.206450877,0.0,0.0
D274,AA,8_9,2.46481147,2.630559367,0.0,0.0
D34,AA,8_9,1.424715413,1.459798951,0.0,0.0
D356,AA,8_9,2.550197083,1.934046927,0.0,0.0
D368,AA,8_9,2.690895946,0.897189195,0.0,0.0
D370,AA,8_9,2.917778912,2.175086707,0.0,0.0
D229,LA,9_10,5.223616035,7.914679944,3.003425475,16.600225947
D360,LA,9_10,3.76121314,6.520657125,1.413440714,3.004278112
D384,LA,9_10,3.889766417,7.011896209,1.051453716,0.304191731
D391,LA,9_10,3.922938537,7.690990166,3.563385422,5.824968863
D75,LA,9_10,3.98804573,4.123988717,3.256339753,2.866375436
D274,LA,9_10,6.361654373,7.470164358,3.338362553,13.765390288
D34,LA,9_10,2.492973636,5.573868671,2.205974662,4.575252371
D356,LA,9_10,4.980360287,7.19200247,2.162938571,6.967519333
D368,LA,9_10,4.899604242,6.420903824,1.824913294,15.181385186
D370,LA,9_10,4.584686413,6.973317958,2.0,3.872742372
D229,LA,12_13,4.591175873,7.630181253,2.329232895,6.227681364
D360,LA,12_13,3.107263303,5.926621229,0.846048635,2.447160252
D384,LA,12_13,3.674599713,6.235216461,1.381090167,1.273202055
D391,LA,12_13,3.215669407,7.073766965,2.43718554,4.272346065
D75,LA,12_13,3.822826331,4.163780262,2.690136462,2.365119625
D274,LA,12_13,5.662471868,6.970383519,2.706168495,5.102747945
D34,LA,12_13,2.171077774,5.734621653,0.95675915,2.354581312
D356,LA,12_13,4.204315877,6.184610091,1.668378509,5.92096578
D368,LA,12_13,4.745917195,6.186901301,1.236198221,6.268896128
D370,LA,12_13,3.949959317,5.960640982,1.654275592,2.832543254
D229,aLA,15_16,4.711306639,6.468597744,0.307955152,0.867875371
D360,aLA,15_16,2.628031222,4.756330919,0.065687903,0.256972653
D384,aLA,15_16,3.934904972,3.47605124,0.485426827,-1.410110819
D391,aLA,15_16,2.747322387,5.55987152,1.437299111,-2.018275043
D75,aLA,15_16,2.00168835,3.490505412,1.660149997,1.081342557
D274,aLA,15_16,4.946925257,4.575333221,-1.081529885,0.949458391
D34,aLA,15_16,2.400062655,3.315530323,0.07647873,2.398549376
D356,aLA,15_16,4.109020883,3.734053998,0.541893778,5.654348563
D368,aLA,15_16,4.202117527,4.0739192,0.636818221,1.678575551
D370,aLA,15_16,4.529338051,5.695117205,0.825013589,2.812139985
D229,aLA,9_10,4.673516163,9.517802655,0.0,0.0
D360,aLA,9_10,3.065019791,7.092690964,0.0,0.0
D384,aLA,9_10,3.787018088,7.272672979,0.0,0.0
D391,aLA,9_10,3.41814341,8.444190681,0.0,0.0
D75,aLA,9_10,3.590266533,5.175638653,0.0,0.0
D274,aLA,9_10,5.693022246,7.267707703,0.0,0.0
D34,aLA,9_10,2.498354662,6.085091206,0.0,0.0
D356,aLA,9_10,4.381199898,7.279972776,0.0,0.0
D368,aLA,9_10,4.726041945,6.632729948,0.0,0.0
D370,aLA,9_10,4.476438044,7.324453969,0.0,0.0
