Donor,Parent Fatty Acid,Epoxide To-PP sum,Epoxide To-F sum,Epoxide NE-PP sum,Epoxide NE-F sum,Diol To-PP sum,Diol To-F sum,Diol NE-PP sum,Diol NE-F sum
D229,All,435.2,485.64,19.592,14.036,18.5062,8.1332,6.2881,0.79966
D360,All,280.791,1326.02,11.133,20.01,31.2123,40.258,7.26223,11.1125
D384,All,894.805,362.258,52.29,14.049,63.522,14.7801,27.3977,16.79
D391,All,243.278,437.31,18.45,5.5653,24.0814,8.3644,3.80092,1.00761
D75,All,170.734,554.08,6.349,7.9418,19.159,40.091,1.594626,3.169
D274,All,400.06,312.71,16.11,2.4817,10.1508,5.83642,4.8813,0.56725
D34,All,248.67,485.84,14.009,6.159,47.639,30.319,7.49,1.8994
D356,All,362.709,267.76,21.465,35.79,19.8741,9.6362,9.4667,1.3466
D368,All,623.62,180.569,17.974,13.032,27.885,7.8798,8.5693,0.729239
D370,All,537.14,610.2,23.548,5.979,30.4662,18.083,9.5676,1.28183
D229,AA,45.7,64.2,0.0,0.0,4.7048,5.378,0.3292,0.57096
D360,AA,22.38,140.6,0.0,0.0,3.5683,19.807,0.2265,4.8825
D384,AA,50.6,38.36,0.0,0.0,5.455,8.378,0.5489,1.24
D391,AA,17.62,50.9,0.0,0.0,2.7423,5.003,0.15453,0.55591
D75,AA,18.85,75.2,0.0,0.0,5.315,11.535,0.536456,1.158
D274,AA,36.07,30.29,0.0,0.0,3.1836,2.7434,0.275,0.20692
D34,AA,15.34,61.32,0.0,0.0,3.927,12.909,0.2751,0.6915
D356,AA,34.67,35.51,0.0,0.0,4.716,5.776,0.5517,0.7754
D368,AA,54.5,15.47,0.0,0.0,6.377,4.5617,0.3907,0.40079
D370,AA,55.5,88.1,0.0,0.0,6.476,10.735,0.4504,0.555
D229,LA,294.0,355.0,14.96,13.76,9.65,1.604,2.601,0.0846
D360,LA,186.9,943.0,7.45,16.21,17.29,12.64,3.6,2.536
D384,LA,584.0,264.0,36.1,10.39,42.1,2.67,15.21,5.82
D391,LA,153.2,298.0,11.31,5.53,12.72,1.778,1.504,0.1951
D75,LA,117.4,368.0,4.65,5.93,7.8,20.85,0.634,1.016
D274,LA,279.0,222.4,13.75,1.875,4.28,1.456,1.771,0.0243
D34,LA,143.1,294.0,9.59,2.389,28.2,5.9,3.55,0.2306
D356,LA,231.3,188.7,14.19,20.7,9.32,1.779,3.9,0.2531
D368,LA,431.0,137.2,12.31,12.11,15.17,1.732,4.52,0.085349
D370,LA,345.0,415.0,14.38,4.27,17.51,4.72,4.23,0.479
D229,DHA,6.89,12.5,0.0,0.0,0.0514,0.0481,0.0228,0.0287
D360,DHA,3.2,23.4,0.0,0.0,0.0,0.212,0.00373,0.138
D384,DHA,6.98,7.18,0.0,0.0,0.107,0.0601,0.0888,0.509
D391,DHA,4.98,10.2,0.0,0.0,0.0331,0.157,0.00839,0.014
D75,DHA,5.9,14.3,0.0,0.0,0.135,0.189,0.00157,0.0267
D274,DHA,4.87,6.72,0.0,0.0,0.0342,0.00902,0.0219,0.023
D34,DHA,3.19,15.3,0.0,0.0,0.167,0.314,0.0379,0.0373
D356,DHA,4.36,8.16,0.0,0.0,0.0361,0.0737,0.027,0.0334
D368,DHA,19.4,5.88,0.0,0.0,0.159,0.168,0.0676,0.0455
D370,DHA,4.8,7.47,0.0,0.0,0.0542,0.047,0.0502,0.0238
D229,aLA,85.48,48.64,4.632,0.276,3.014,0.2961,3.3351,0.0937
D360,aLA,65.82,197.7,3.683,3.8,9.11,4.259,3.432,3.18
D384,aLA,249.9,47.72,16.19,3.659,15.37,2.148,11.55,8.77
D391,aLA,65.83,71.44,7.14,0.0353,8.1,0.8074,2.134,0.143
D75,aLA,26.49,88.8,1.699,2.0118,4.813,5.46,0.4226,0.931
D274,aLA,73.67,47.13,2.36,0.6067,1.915,1.049,2.8134,0.305
D34,aLA,80.42,93.54,4.419,3.77,13.96,5.093,3.627,0.715
D356,aLA,90.11,32.91,7.275,15.09,4.553,1.3185,4.988,0.274
D368,aLA,112.15,20.16,5.664,0.922,5.05,0.6321,3.591,0.179
D370,aLA,128.9,93.2,9.168,1.709,5.16,1.154,4.837,0.215
D229,EPA,3.13,5.3,0.0,0.0,1.086,0.807,0.0,0.0217
D360,EPA,2.491,21.32,0.0,0.0,1.244,3.34,0.0,0.376
D384,EPA,3.325,4.998,0.0,0.0,0.49,1.524,0.0,0.451
D391,EPA,1.648,6.77,0.0,0.0,0.486,0.619,0.0,0.0996
D75,EPA,2.094,7.78,0.0,0.0,1.096,2.057,0.0,0.0373
D274,EPA,6.45,6.17,0.0,0.0,0.738,0.579,0.0,0.00803
D34,EPA,6.62,21.68,0.0,0.0,1.385,6.103,0.0,0.225
D356,EPA,2.269,2.48,0.0,0.0,1.249,0.689,0.0,0.0107
D368,EPA,6.57,1.859,0.0,0.0,1.129,0.786,0.0,0.0186
D370,EPA,2.94,6.43,0.0,0.0,1.266,1.427,0.0,0.00903
