Type,r^,p,Pearsons
"11,12-EpETrE To-PP",0.0210337383519,0.689335824271,-0.145030129118
"11,12-EpETrE To-F",0.0720041914965,0.45348577983,-0.268335967579
"11,12-EpETrE NE-PP",0.0,1.0,
"11,12-EpETrE NE-F",0.0,1.0,
"14,15-EpETrE To-PP",0.00424618861448,0.858060133208,-0.0651627855028
"14,15-EpETrE To-F",0.00804508171217,0.805364436942,-0.0896943794904
"14,15-EpETrE NE-PP",0.0,1.0,
"14,15-EpETrE NE-F",0.0,1.0,
"8,9-EpETrE To-PP",0.0892769030993,0.401684483029,0.298792408035
"8,9-EpETrE To-F",0.188527914837,0.209911117541,-0.434198013396
"8,9-EpETrE NE-PP",0.0,1.0,
"8,9-EpETrE NE-F",0.0,1.0,
"9,10- DiHOME To-PP",0.0606826173126,0.492661079814,0.246338420293
"9,10 DiHOME To-F",0.000484315415531,0.951882629882,0.0220071673673
"9,10 DiHOME NE-PP",0.00873916699685,0.797282584017,-0.0934835118984
"9,10 DiHOME NE-F",0.0851552074607,0.413294794189,0.291813651944
"12,13- DiHOME To-PP",0.0598403447889,0.495775486358,0.244622862359
"12,13 DiHOME To-F",5.58776169514e-05,0.98364905971,-0.00747513323971
"12,13 DiHOME NE-PP",0.051123168545,0.529916290007,-0.226104331106
"12,13 DiHOME NE-F",0.111001071095,0.346847207174,0.333168232422
"15,16- DiHODE To-PP",0.160130173193,0.251861123474,0.400162683409
"15,16 DiHODE To-F",0.0532160876195,0.521381738979,-0.230686123596
"15,16 DiHODE NE-PP",0.161098662805,0.250297953157,-0.401370979027
"15,16 DiHODE NE-F",0.5147324552,0.0194983225755,0.717448573209
"9,10- DiHODE To-PP",0.127051681246,0.312022017582,0.356443096785
"9,10 DiHODE To-F",0.0713529232627,0.455614310928,-0.267119679662
"19,10 DiHODE NE-PP",0.0,1.0,
"9,10 DiHODE NE-F",0.0,1.0,
